location,reference,latitude,longitude,depth,d13C,d18O
part15,"Quade et al, 2002",36.2981,-115.6641,40,-4.7,-11.6
part16,"Quade et al, 2003",36.2981,-115.6641,40,-4.5,-11.9
part17,"Quade et al, 2004",36.2981,-115.6641,40,-4.4,-12.6
part18,"Quade et al, 2005",36.2981,-115.6641,50,-4.3,-11
part19,"Quade et al, 2006",36.2981,-115.6641,50,-4.3,-11.1
part20,"Quade et al, 2007",36.2981,-115.6641,50,-3.8,-9.8
part21,"Quade et al, 2008",36.2981,-115.6641,70,-5.1,-10.8
part22,"Quade et al, 2009",36.2981,-115.6641,70,-5.3,-13.4
part23,"Quade et al, 2010",36.2981,-115.6641,90,-4.7,-11.1
part24,"Quade et al, 2011",36.2981,-115.6641,90,-4.7,-11.2
part25,"Quade et al, 2012",36.2981,-115.6641,110,-4.6,-10.7
part26,"Quade et al, 2013",36.2981,-115.6641,110,-4.9,-11.8
part27,"Quade et al, 2014",36.2981,-115.6641,125,-4.7,-11.5
part28,"Quade et al, 2015",36.2981,-115.6641,125,-5.5,-13.9
,,,,,,
,"Quade et al, 1989",36.2469,-116.8169,0,5.9,-4.3
,"Quade et al, 1990",36.2469,-116.8169,0,6.1,-3.8
,"Quade et al, 1991",36.2469,-116.8169,5,5,-3.6
,"Quade et al, 1992",36.2469,-116.8169,5,2.2,-5.4
,"Quade et al, 1993",36.2469,-116.8169,10,2.6,-3
,"Quade et al, 1994",36.2469,-116.8169,10,2.5,-2.4
,"Quade et al, 1995",36.2469,-116.8169,20,0.5,-4
,"Quade et al, 1996",36.2469,-116.8169,20,1.6,-6.4
,"Quade et al, 1997",36.2469,-116.8169,30,-0.2,-6.3
,"Quade et al, 1998",36.2469,-116.8169,30,0.7,-5.8
,"Quade et al, 1999",36.2469,-116.8169,40,0.4,-3.3
,"Quade et al, 2000",36.2469,-116.8169,50,-3.3,-7
,"Quade et al, 2001",36.2469,-116.8169,75,-1.1,-3.1
,"Quade et al, 2002",36.2469,-116.8169,75,-0.6,-3.7
